TM,STN_ID,RWY_DIR,RWY_AD,ALERT
2017-01-10 15:34,113,34-,A,WSA
2017-01-10 15:34,113,16-,D,WSA
2017-01-10 15:35,113,34-,A,WSA
2017-01-10 15:35,113,16-,D,WSA
2017-01-10 15:35,113,34-,A,WSA
2017-01-10 15:35,113,16-,D,WSA
2017-01-10 15:35,113,34-,A,WSA
2017-01-10 15:35,113,16-,D,WSA
2017-01-12 1:25,113,16-,A,WSA
2017-01-12 1:25,113,34-,D,WSA
2017-01-12 1:25,113,16-,A,WSA
2017-01-12 1:25,113,34-,D,WSA
2017-01-12 1:26,113,16-,A,WSA
2017-01-12 1:26,113,34-,D,WSA
2017-01-12 1:26,113,16-,A,WSA
2017-01-12 1:26,113,34-,D,WSA
2017-01-12 1:28,113,16-,A,WSA
2017-01-12 1:28,113,34-,D,WSA
2017-01-12 1:28,113,16-,A,WSA
2017-01-12 1:28,113,34-,D,WSA
2017-01-12 2:19,113,16-,A,WSA
2017-01-12 2:19,113,34-,D,WSA
2017-01-12 2:19,113,16-,A,WSA
2017-01-12 2:19,113,34-,D,WSA
2017-01-12 2:20,113,16-,A,WSA
2017-01-12 2:20,113,34-,D,WSA
2017-01-13 18:33,113,33R,A,WSA
2017-01-13 18:33,113,15L,D,WSA
2017-01-13 18:33,113,33L,A,WSA
2017-01-13 18:33,113,15R,D,WSA
2017-01-13 18:33,113,15R,A,WSA
2017-01-13 18:33,113,33L,D,WSA
2017-01-13 18:33,113,15L,A,WSA
2017-01-13 18:33,113,33R,D,WSA
2017-01-13 18:33,113,33R,A,WSA
2017-01-13 18:33,113,15L,D,WSA
2017-01-13 18:33,113,33L,A,WSA
2017-01-13 18:33,113,15R,D,WSA
2017-01-13 18:33,113,15R,A,WSA
2017-01-13 18:33,113,33L,D,WSA
2017-01-13 18:33,113,15L,A,WSA
2017-01-13 18:33,113,33R,D,WSA
2017-01-14 14:10,113,33R,A,WSA
2017-01-14 14:10,113,15L,D,WSA
2017-01-14 14:10,113,33L,A,WSA
2017-01-14 14:10,113,15R,D,WSA
2017-01-14 14:18,113,34-,A,WSA
2017-01-14 14:18,113,16-,D,WSA
2017-01-14 15:23,113,34-,A,WSA
2017-01-14 15:23,113,16-,D,WSA
2017-01-14 15:23,113,34-,A,WSA
2017-01-14 15:23,113,16-,D,WSA
2017-01-14 15:24,113,34-,A,WSA
2017-01-14 15:24,113,16-,D,WSA
2017-01-14 15:24,113,34-,A,WSA
2017-01-14 15:24,113,16-,D,WSA
2017-01-14 15:24,113,34-,A,WSA
2017-01-14 15:24,113,16-,D,WSA
2017-01-14 17:14,113,16-,A,WSA
