구분,항공사,편명,출발지,도착지,운항요일,출발시간,운항시작기간,운항종료기간,데이터기준일자
출발,춘추항공,9C6150,제주,난징,월.화.수.목.금.토.일,7:00,2019-10-27,2020-03-28,2019-11-18
출발,홍콩익스프레스,UO677,제주,홍콩,일,7:30,2019-10-28,2020-03-28,2019-11-18
출발,서부항공,PN6422,제주,허페이,토,7:30,2019-12-14,2020-03-28,2019-11-18
출발,춘추항공,9C8624,제주,항저우,월.화.수.목.금.토.일,7:30,2019-10-28,2020-03-28,2019-11-18
출발,서부항공,PN6422,제주,허페이,화,7:30,2019-12-14,2020-03-28,2019-11-18
출발,춘추항공,9C6106,제주,광저우,월.화.수.목.금.토.일,7:30,2019-10-27,2020-03-28,2019-11-18
출발,대한항공,KE877,제주,베이징/서우두,화.목.토,7:35,2019-10-27,2020-03-28,2019-11-18
출발,춘추항공,9C8564,제주,다롄,화.목.토,7:50,2019-10-27,2020-03-28,2019-11-18
출발,춘추항공,9C8708,제주,선양,월.금,7:50,2019-10-28,2020-03-27,2019-11-18
출발,춘추항공,9C8708,제주,선양,수,7:50,2019-11-13,2020-01-22,2019-11-18
출발,춘추항공,9C8708,제주,선양,수,7:50,2020-01-29,2020-03-25,2019-11-18
출발,춘추항공,9C8708,제주,선양,일,7:50,2019-11-03,2020-03-28,2019-11-18
출발,홍콩익스프레스,UO677,제주,홍콩,목,7:55,2019-10-31,2020-03-28,2019-11-18
출발,이스타항공,ZE883,제주,타이페이/타오위안,금,8:30,2019-10-27,2020-03-28,2019-11-18
출발,이스타항공,ZE883,제주,타이페이/타오위안,월,8:30,2019-10-27,2020-03-28,2019-11-18
출발,이스타항공,ZE883,제주,타이페이/타오위안,일,8:30,2019-10-27,2020-03-28,2019-11-18
출발,이스타항공,ZE883,제주,타이페이/타오위안,수,8:30,2019-10-27,2020-03-28,2019-11-18
출발,제주항공,7C2681,제주,타이페이/타오위안,토,10:30,2019-10-27,2020-03-28,2019-11-18
출발,타이거에어 타이완,IT655,제주,타이페이/타오위안,수.토,11:00,2019-10-27,2020-03-28,2019-11-18
출발,타이거에어 타이완,IT655,제주,타이페이/타오위안,화.금,11:00,2019-10-27,2020-03-28,2019-11-18
출발,춘추항공,9C8914,제주,톈진,월.수.금.일,11:05,2019-10-27,2020-03-28,2019-11-18
출발,춘추항공,9C8540,제주,양저우,화.목.토,11:05,2019-10-27,2020-03-28,2019-11-18
출발,춘추항공,9C6172,제주,닝보,목,11:45,2019-10-28,2019-12-30,2019-11-18
출발,춘추항공,9C6172,제주,닝보,월,11:45,2019-10-28,2019-12-30,2019-11-18
출발,제주항공,7C4581,제주,가오슝,화.금,12:00,2019-11-15,2020-03-28,2019-11-18
출발,춘추항공,9C6172,제주,닝보,목,12:00,2020-01-27,2020-03-26,2019-11-18
출발,춘추항공,9C6172,제주,닝보,월,12:00,2020-01-27,2020-03-26,2019-11-18
출발,춘추항공,9C8862,제주,상하이/푸동,수.토,12:00,2019-10-27,2020-03-28,2019-11-18
출발,중국길상항공(준야오항공),HO1610,제주,난징,화,12:20,2019-10-27,2020-03-28,2019-11-18
출발,중국길상항공(준야오항공),HO1610,제주,난징,목.토,12:20,2019-10-27,2020-03-28,2019-11-18
출발,중국길상항공(준야오항공),HO1376,제주,상하이/푸동,수,12:35,2019-10-27,2020-01-01,2019-11-18
출발,춘추항공,9C6172,제주,닝보,월,12:35,2020-01-02,2020-01-23,2019-11-18
출발,중국길상항공(준야오항공),HO1376,제주,상하이/푸동,금,12:35,2019-10-27,2020-03-28,2019-11-18
출발,중국길상항공(준야오항공),HO1376,제주,상하이/푸동,월,12:35,2019-10-27,2020-03-28,2019-11-18
출발,춘추항공,9C6172,제주,닝보,목,12:35,2020-01-02,2020-01-23,2019-11-18
