순위,아티스트,곡명,앨범
1,ON,방탄소년단,MAP OF THE SOUL : 7
2,00:00 (Zero O’Clock),방탄소년단,MAP OF THE SOUL : 7
3,마음을 드려요,아이유,사랑의 불시착 OST Part 11
4,Black Swan,방탄소년단,MAP OF THE SOUL : 7
5,친구,방탄소년단,MAP OF THE SOUL : 7
6,아무노래,지코 (ZICO),아무노래
7,Filter,방탄소년단,MAP OF THE SOUL : 7
8,시차,방탄소년단,MAP OF THE SOUL : 7
9,Moon,방탄소년단,MAP OF THE SOUL : 7
10,Inner Child,방탄소년단,MAP OF THE SOUL : 7
11,욱 (UGH!),방탄소년단,MAP OF THE SOUL : 7
12,Louder than bombs,방탄소년단,MAP OF THE SOUL : 7
13,We are Bulletproof : the Eternal,방탄소년단,MAP OF THE SOUL : 7
14,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
15,Interlude : Shadow,방탄소년단,MAP OF THE SOUL : 7
16,FIESTA,IZ*ONE (아이즈원),BLOOM*IZ
17,Respect,방탄소년단,MAP OF THE SOUL : 7
18,Outro : Ego,방탄소년단,MAP OF THE SOUL : 7
19,METEOR,창모 (CHANGMO),Boyhood
20,"다시 난, 여기",백예린,사랑의 불시착 OST Part 4
21,Psycho,Red Velvet (레드벨벳),‘The ReVe Festival’ Finale
22,둘만의 세상으로 가,Crush,사랑의 불시착 OST Part 10
23,Blueming,아이유,Love poem
24,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
25,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
26,너를 사랑하고 있어,백현 (BAEKHYUN),낭만닥터 김사부 2 OST Part.1
27,시작,가호 (Gaho),이태원 클라쓰 OST Part.2
28,HIP,마마무 (Mamamoo),reality in BLACK
29,어떤 날엔,김재환,사랑의 불시착 OST Part 5
30,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),항해
