일시,최고기온(°C),일강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),평균 풍속(m/s),풍정합(100m),최소 상대습도(%),평균 상대습도(%),가조시간(hr),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),분류
2019-01-01,7,0,13.6,7.6,5.3,4560,47,61.1,10,9,9,4.8,45
2019-01-02,6.1,,11.4,6.2,3.9,340560,53.1,61,9.9,8.8,8.8,4.6,45
2019-01-03,8,,8.2,5.1,2.7,234000,41.2,60,9.9,4.1,4.1,5.5,54
2019-01-04,10,1.6,7.6,4.6,2,174960,62.7,78,9.9,8.1,6.3,5.2,41
2019-01-05,9,,8.9,5.1,3.2,274320,49.5,67,9.9,5.9,5.1,6.6,52
2019-01-06,7.7,,7.8,4.4,2.6,222120,53.7,64,9.9,6.5,5.5,5.8,50
2019-01-07,8.8,,6.8,3.8,2.2,188640,55.9,66,9.9,6.6,4.6,6.1,57
2019-01-08,8.8,,13.6,7,4.4,375840,55.1,63,9.9,9.3,7.8,6.4,45
2019-01-09,5.8,,12.1,7,3,261000,47.7,56,9.9,8.5,3.6,6.2,48
2019-01-10,7.8,,9.1,5.2,3,258120,57.6,65,9.9,9.6,6.4,6.6,46
2019-01-11,9.4,1.7,9.4,5,2.3,199080,60,71,9.9,9.4,6.5,8.8,41
2019-01-12,10.9,2,7.8,4.9,2.8,238680,49.3,73,9.9,7.3,6.3,9.4,52
2019-01-13,10,,10.3,5.8,3.5,299520,53.4,66,9.9,5.3,5.3,7.2,49
2019-01-14,9.7,,6.8,3.2,2.1,177840,58.3,66,9.9,5.6,4.5,7.2,55
2019-01-15,9.9,,14.3,7.6,4.3,370080,49.9,61,9.9,7.8,6.9,7.2,51
2019-01-16,4,,13.4,7.8,4.3,371520,55.9,64,9.9,9.1,8.8,4,41
2019-01-17,6.5,,11.1,7.2,4.3,372240,49.5,56,9.9,8.4,8,4.8,45
2019-01-18,9.8,,7.3,3.9,1.9,167400,50.7,63,9.9,2.5,2.3,6.7,61
2019-01-19,12.6,1,10.3,5.2,2.3,195480,61.6,74,9.9,7.4,5.5,6.4,51
2019-01-20,11.6,,14.6,7.7,5.5,476280,48.8,66,9.9,8,7.3,7.3,53
2019-01-21,8.1,,12.3,6.9,4.4,381960,50.8,59,9.9,7.1,7.1,7,49
2019-01-22,10.9,,9.7,5.1,3.5,301320,39.7,57,9.9,4.5,3.8,8.1,59
2019-01-23,11.9,,9.2,5.3,3.5,302760,39.9,56,9.9,0.9,0.9,7.7,63
2019-01-24,9.6,,7.5,4.4,2,171000,39.6,56,9.9,0,0,6.3,65
2019-01-25,10.1,,16.7,9,4.2,361440,42.1,60,9.9,5.3,4.6,5.2,57
2019-01-26,5.8,,18,9.7,5.6,487440,44.2,56,9.9,4.6,4.6,5.7,52
2019-01-27,8.5,,6.9,4.2,2.4,205920,49.9,62,9.9,4.6,4.6,6.7,59
2019-01-28,10.8,,12.5,6.6,4.5,391320,41.7,57,9.9,6.3,5.6,7.4,53
2019-01-29,9.2,,6.5,4.2,1.9,163440,52.9,64,9.9,2.4,1.9,7.5,63
2019-01-30,10.1,,5.5,3.7,1.6,142200,56,69,9.9,9.5,5.8,8.5,52
2019-01-31,8.2,17.9,21.2,13.2,5,434880,57.4,76,9.9,9,7.4,5.4,25
2019-02-01,6.8,,15.8,8.6,4.7,405720,46.2,58,10.5,7.6,7.6,4.1,47
2019-02-02,12,,6,3.7,2.2,185760,46.8,58,10.5,6.6,4.6,9,65
2019-02-03,18.4,9.8,19.9,10.2,5.5,474120,60.7,84,10.5,9.9,6.6,11.6,43
2019-02-04,9.5,,14.3,8,3.3,286560,29.9,50,10.5,3,2.5,7.7,64
2019-02-05,13.6,,12.2,7.1,2.9,246960,47.4,57,10.5,3.9,3.3,7.8,66
2019-02-06,15.5,,5.5,3.8,1.9,166680,49.2,64,10.5,5.3,4.4,9.7,63
2019-02-07,12.1,3.8,13.3,8.3,3.5,304920,48.9,71,10.5,7.4,5.6,6.9,37
2019-02-08,5.6,,9.1,4.9,2.8,240840,38.7,55,10.5,8.5,2.3,5.2,56
